Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,[Fe/H],l,b,Av,Mbol
8.258,5.8,5.0,5.42,3.746,4.61,8.0,0.75,1.706,0.771,2.181,4.785,23.905,-1.3,1.0,-4.0,3.451,5.637
8.258,5.8,5.0,5.42,3.746,4.61,8.0,0.75,1.73,0.845,2.179,4.781,23.885,-0.92,1.0,-4.0,3.451,5.637
8.258,5.6,5.0,5.28,3.755,4.58,8.0,0.77,1.681,0.755,2.144,4.696,23.683,-1.09,1.0,-4.0,3.451,5.457
8.258,5.4,5.0,5.15,3.763,4.55,8.0,0.79,1.675,0.793,2.11,4.621,23.435,-0.74,1.0,-4.0,3.451,5.272
8.258,5.2,5.0,5.04,3.771,4.52,8.0,0.81,1.605,0.655,2.089,4.591,23.32,-1.5,1.0,-4.0,3.451,5.084
8.258,4.8,5.0,4.87,3.783,4.43,8.0,0.84,1.62,0.792,2.035,4.463,22.935,-0.51,1.0,-4.0,3.451,4.698
8.258,4.8,5.0,4.87,3.783,4.43,8.0,0.84,1.587,0.702,2.036,4.485,22.842,-1.07,1.0,-4.0,3.451,4.698
8.258,4.8,5.0,4.87,3.783,4.43,8.0,0.84,1.647,0.861,2.034,4.455,22.871,-0.23,1.0,-4.0,3.451,4.698
8.258,4.6,5.0,4.8,3.787,4.38,8.0,0.86,1.618,0.814,2.02,4.42,22.68,-0.4,1.0,-4.0,3.451,4.502
8.258,4.4,5.0,4.75,3.791,4.32,8.0,0.87,1.591,0.778,2.006,4.386,22.39,-0.58,1.0,-4.0,3.451,4.305
8.258,4.2,5.0,4.73,3.793,4.26,8.0,0.88,1.62,0.866,1.995,4.35,22.287,-0.16,1.0,-4.0,3.451,4.108
8.258,7.0,5.0,6.22,3.7,4.76,9.0,0.59,1.903,0.985,2.304,5.154,25.003,-1.91,1.0,-4.0,3.451,6.729
8.258,6.6,5.0,5.84,3.721,4.73,9.0,0.62,1.784,0.795,2.26,5.017,24.674,-2.02,1.0,-4.0,3.451,6.392
8.258,5.8,5.0,5.18,3.761,4.64,9.0,0.69,1.641,0.684,2.125,4.648,23.794,-1.37,1.0,-4.0,3.451,5.664
8.258,4.6,5.0,4.58,3.803,4.39,9.0,0.77,1.565,0.787,1.961,4.26,22.673,-0.46,1.0,-4.0,3.451,4.494
8.258,4.2,5.0,4.49,3.811,4.28,9.0,0.79,1.513,0.72,1.934,4.201,22.215,-1.05,1.0,-4.0,3.451,4.102
8.258,0.8,3.0,6.1,3.659,2.23,10.0,1.06,2.328,2.066,2.5,5.633,18.792,0.21,1.0,-4.0,3.451,0.47
8.258,0.2,3.0,6.5,3.608,1.71,10.0,1.06,2.518,2.528,2.915,6.382,18.137,0.63,1.0,-4.0,3.451,-0.52
8.258,2.6,3.0,6.0,3.668,3.13,10.0,1.05,2.233,1.895,2.444,5.532,20.609,-0.3,1.0,-4.0,3.451,2.432
8.258,2.6,3.0,6.0,3.668,3.13,10.0,1.05,2.233,1.895,2.444,5.532,20.679,-0.28,1.0,-4.0,3.451,2.432
8.258,2.8,3.0,6.0,3.669,3.2,10.0,1.05,2.225,1.882,2.436,5.518,20.91,-0.23,1.0,-4.0,3.451,2.602
8.258,2.8,3.0,6.0,3.669,3.2,10.0,1.05,2.225,1.882,2.436,5.518,20.924,-0.04,1.0,-4.0,3.451,2.602
8.258,3.6,3.0,5.8,3.681,3.62,10.0,1.04,2.147,1.739,2.381,5.387,21.589,0.71,1.0,-4.0,3.451,3.53
8.258,3.9,4.0,5.6,3.712,3.89,10.0,1.04,1.99,1.428,2.289,5.096,21.876,-0.49,1.0,-4.0,3.451,3.892
8.258,3.9,4.0,5.4,3.725,3.93,10.0,1.03,1.925,1.308,2.255,4.98,21.991,-0.26,1.0,-4.0,3.451,3.878
8.258,3.8,4.0,5.3,3.731,3.96,10.0,1.03,1.893,1.251,2.235,4.915,21.93,0.18,1.0,-4.0,3.451,3.878
8.258,3.8,4.0,5.2,3.737,3.99,10.0,1.03,1.866,1.205,2.219,4.854,21.77,0.21,1.0,-4.0,3.451,3.885
8.258,3.8,4.0,5.2,3.743,4.02,10.0,1.03,1.839,1.159,2.198,4.794,21.893,1.03,1.0,-4.0,3.451,3.902
8.258,3.8,4.0,5.1,3.745,4.03,10.0,1.02,1.827,1.139,2.188,4.769,21.736,0.35,1.0,-4.0,3.451,3.92
8.258,3.8,4.0,5.1,3.745,4.03,10.0,1.02,1.827,1.139,2.188,4.769,21.867,0.5,1.0,-4.0,3.451,3.92
8.258,3.9,4.0,6.0,3.754,4.11,10.0,1.01,1.78,1.065,2.146,4.663,21.879,-0.42,1.0,-4.0,3.451,4.02
8.258,4.0,4.0,6.0,3.756,4.12,10.0,1.01,1.773,1.053,2.138,4.645,22.107,-0.14,1.0,-4.0,3.451,4.043
8.258,4.0,4.0,6.0,3.758,4.14,10.0,1.01,1.766,1.043,2.132,4.628,21.941,-0.22,1.0,-4.0,3.451,4.063
8.258,4.0,4.0,6.0,3.758,4.14,10.0,1.01,1.766,1.043,2.132,4.628,21.995,-0.55,1.0,-4.0,3.451,4.063
8.258,4.1,4.0,6.0,3.76,4.16,10.0,1.0,1.763,1.037,2.129,4.618,22.118,-0.08,1.0,-4.0,3.451,4.102
8.258,4.1,4.0,6.0,3.76,4.16,10.0,1.0,1.763,1.037,2.129,4.618,22.101,0.04,1.0,-4.0,3.451,4.102
8.258,4.1,4.0,5.2,3.743,4.21,10.0,1.0,1.761,1.034,2.127,4.615,22.139,-0.51,1.0,-4.0,3.451,4.497
8.258,4.1,4.0,5.2,3.743,4.21,10.0,1.0,1.761,1.034,2.127,4.615,22.147,-0.01,1.0,-4.0,3.451,4.497
8.258,4.1,4.0,5.2,3.743,4.21,10.0,1.0,1.761,1.034,2.127,4.615,22.203,-0.31,1.0,-4.0,3.451,4.497
8.258,4.1,4.0,5.2,3.743,4.21,10.0,1.0,1.761,1.034,2.127,4.615,22.183,-0.73,1.0,-4.0,3.451,4.497
8.258,4.2,4.0,5.1,3.744,4.24,10.0,0.99,1.76,1.034,2.125,4.615,22.202,-0.02,1.0,-4.0,3.451,4.57
8.258,4.2,4.0,5.1,3.744,4.24,10.0,0.99,1.76,1.034,2.125,4.615,22.184,0.49,1.0,-4.0,3.451,4.57
8.258,4.2,4.0,5.1,3.744,4.26,10.0,0.99,1.758,1.032,2.123,4.613,22.146,0.09,1.0,-4.0,3.451,4.605
8.258,4.3,5.0,5.5,3.745,4.28,10.0,0.99,1.755,1.029,2.12,4.608,22.364,-0.45,1.0,-4.0,3.451,4.642
8.258,4.3,5.0,5.5,3.745,4.29,10.0,0.98,1.759,1.034,2.125,4.617,22.265,-0.39,1.0,-4.0,3.451,4.688
8.258,4.4,5.0,5.5,3.745,4.34,10.0,0.98,1.774,1.053,2.14,4.645,22.427,0.23,1.0,-4.0,3.451,4.81
8.258,4.5,5.0,5.5,3.745,4.35,10.0,0.98,1.778,1.059,2.144,4.655,22.45,0.5,1.0,-4.0,3.451,4.832
8.258,4.5,5.0,5.5,3.745,4.37,10.0,0.97,1.781,1.064,2.147,4.663,22.437,-0.08,1.0,-4.0,3.451,4.878
8.258,4.6,5.0,5.5,3.744,4.37,10.0,0.96,1.782,1.065,2.147,4.666,22.578,-0.13,1.0,-4.0,3.451,4.895
8.258,4.6,5.0,5.5,3.744,4.37,10.0,0.96,1.782,1.065,2.147,4.666,22.698,0.37,1.0,-4.0,3.451,4.895
8.258,4.6,5.0,5.5,3.744,4.37,10.0,0.96,1.782,1.065,2.147,4.666,22.547,-0.02,1.0,-4.0,3.451,4.895
8.258,4.7,5.0,5.5,3.744,4.39,10.0,0.95,1.782,1.067,2.147,4.671,22.655,-0.37,1.0,-4.0,3.451,4.94
8.258,4.7,5.0,5.5,3.744,4.39,10.0,0.95,1.782,1.067,2.147,4.671,22.714,-0.45,1.0,-4.0,3.451,4.94
8.258,4.7,5.0,5.5,3.744,4.39,10.0,0.95,1.782,1.067,2.147,4.671,22.674,0.01,1.0,-4.0,3.451,4.94
8.258,4.7,5.0,5.5,3.744,4.4,10.0,0.95,1.783,1.07,2.148,4.676,22.827,0.04,1.0,-4.0,3.451,4.963
8.258,4.7,5.0,5.5,3.744,4.4,10.0,0.95,1.783,1.07,2.148,4.676,22.655,0.08,1.0,-4.0,3.451,4.963
8.258,4.8,5.0,5.5,3.743,4.4,10.0,0.94,1.789,1.081,2.155,4.692,22.737,-0.06,1.0,-4.0,3.451,4.98
8.258,4.8,5.0,5.5,3.743,4.41,10.0,0.94,1.794,1.089,2.16,4.704,22.902,-0.05,1.0,-4.0,3.451,5.003
8.258,4.8,5.0,5.5,3.743,4.41,10.0,0.94,1.794,1.089,2.16,4.704,22.806,-0.63,1.0,-4.0,3.451,5.003
8.258,4.8,5.0,5.5,3.743,4.41,10.0,0.94,1.794,1.089,2.16,4.704,22.88,0.48,1.0,-4.0,3.451,5.003
8.258,4.9,5.0,5.5,3.743,4.42,10.0,0.93,1.8,1.098,2.165,4.716,22.987,-0.23,1.0,-4.0,3.451,5.023
8.258,4.9,5.0,5.5,3.743,4.42,10.0,0.93,1.8,1.098,2.165,4.716,23.017,0.26,1.0,-4.0,3.451,5.023
8.258,4.9,5.0,5.5,3.743,4.42,10.0,0.93,1.8,1.098,2.165,4.716,23.002,-0.3,1.0,-4.0,3.451,5.023
8.258,4.9,5.0,5.5,3.742,4.42,10.0,0.93,1.806,1.11,2.171,4.733,22.9,-0.4,1.0,-4.0,3.451,5.043
8.258,4.9,5.0,5.5,3.742,4.42,10.0,0.93,1.806,1.11,2.171,4.733,22.926,0.32,1.0,-4.0,3.451,5.043
8.258,5.0,5.0,5.5,3.742,4.43,10.0,0.92,1.813,1.121,2.178,4.748,23.013,-0.01,1.0,-4.0,3.451,5.065
8.258,5.0,5.0,5.5,3.742,4.43,10.0,0.92,1.813,1.121,2.178,4.748,23.104,-0.48,1.0,-4.0,3.451,5.065
8.258,5.0,5.0,5.5,3.742,4.43,10.0,0.92,1.813,1.121,2.178,4.748,23.019,-0.21,1.0,-4.0,3.451,5.065
8.258,5.0,5.0,5.5,3.742,4.43,10.0,0.92,1.813,1.121,2.178,4.748,23.019,0.16,1.0,-4.0,3.451,5.065
8.258,5.0,5.0,5.6,3.741,4.44,10.0,0.91,1.824,1.142,2.188,4.773,23.013,0.25,1.0,-4.0,3.451,5.085
8.258,5.0,5.0,5.6,3.741,4.44,10.0,0.91,1.824,1.142,2.188,4.773,23.061,0.74,1.0,-4.0,3.451,5.085
8.258,5.1,5.0,5.6,3.741,4.44,10.0,0.91,1.833,1.157,2.196,4.791,23.209,0.48,1.0,-4.0,3.451,5.105
8.258,5.1,5.0,5.6,3.741,4.44,10.0,0.91,1.833,1.157,2.196,4.791,23.068,-0.27,1.0,-4.0,3.451,5.105
8.258,5.1,5.0,5.6,3.741,4.44,10.0,0.91,1.833,1.157,2.196,4.791,23.205,0.6,1.0,-4.0,3.451,5.105
8.258,5.2,5.0,5.6,3.74,4.45,10.0,0.9,1.847,1.184,2.209,4.822,23.191,0.23,1.0,-4.0,3.451,5.125
8.258,5.2,5.0,5.6,3.74,4.45,10.0,0.9,1.847,1.184,2.209,4.822,23.188,0.53,1.0,-4.0,3.451,5.125
8.258,5.2,5.0,5.6,3.74,4.45,10.0,0.9,1.847,1.184,2.209,4.822,23.212,-0.27,1.0,-4.0,3.451,5.125
8.258,5.2,5.0,6.1,3.711,4.49,10.0,0.9,1.854,1.196,2.214,4.836,23.33,-0.33,1.0,-4.0,3.451,5.65
8.258,5.2,5.0,6.1,3.711,4.49,10.0,0.9,1.854,1.196,2.214,4.836,23.245,-0.45,1.0,-4.0,3.451,5.65
8.258,5.3,5.0,6.1,3.71,4.5,10.0,0.89,1.86,1.207,2.219,4.854,23.393,-0.11,1.0,-4.0,3.451,5.675
8.258,5.3,5.0,6.1,3.71,4.5,10.0,0.89,1.86,1.207,2.219,4.854,23.266,-0.24,1.0,-4.0,3.451,5.675
8.258,5.3,5.0,6.1,3.709,4.5,10.0,0.89,1.868,1.22,2.225,4.872,23.325,0.7,1.0,-4.0,3.451,5.7
8.258,5.3,5.0,6.1,3.709,4.5,10.0,0.89,1.868,1.22,2.225,4.872,23.306,-0.06,1.0,-4.0,3.451,5.7
8.258,5.4,5.0,6.1,3.708,4.51,10.0,0.88,1.872,1.228,2.228,4.884,23.463,-0.18,1.0,-4.0,3.451,5.722
8.258,5.4,5.0,6.1,3.707,4.51,10.0,0.88,1.881,1.243,2.234,4.904,23.39,-0.02,1.0,-4.0,3.451,5.747
8.258,5.4,5.0,6.1,3.707,4.51,10.0,0.88,1.881,1.243,2.234,4.904,23.516,0.73,1.0,-4.0,3.451,5.747
8.258,5.5,5.0,6.1,3.706,4.52,10.0,0.87,1.889,1.258,2.24,4.925,23.578,-0.19,1.0,-4.0,3.451,5.77
8.258,5.5,5.0,6.1,3.706,4.52,10.0,0.87,1.889,1.258,2.24,4.925,23.617,0.46,1.0,-4.0,3.451,5.77
8.258,5.5,5.0,6.1,3.705,4.53,10.0,0.87,1.896,1.27,2.245,4.941,23.479,-0.07,1.0,-4.0,3.451,5.795
8.258,5.5,5.0,6.1,3.705,4.53,10.0,0.87,1.896,1.27,2.245,4.941,23.574,0.44,1.0,-4.0,3.451,5.795
8.258,5.5,5.0,6.1,3.705,4.53,10.0,0.87,1.896,1.27,2.245,4.941,23.634,-0.09,1.0,-4.0,3.451,5.795
8.258,5.6,5.0,6.1,3.704,4.53,10.0,0.86,1.907,1.29,2.252,4.965,23.598,-0.39,1.0,-4.0,3.451,5.818
8.258,5.6,5.0,6.1,3.704,4.53,10.0,0.86,1.907,1.29,2.252,4.965,23.54,0.03,1.0,-4.0,3.451,5.818
8.258,5.6,5.0,6.1,3.704,4.53,10.0,0.86,1.907,1.29,2.252,4.965,23.637,-0.68,1.0,-4.0,3.451,5.818
8.258,5.6,5.0,6.1,3.704,4.53,10.0,0.86,1.907,1.29,2.252,4.965,23.647,-0.34,1.0,-4.0,3.451,5.818
8.258,5.6,5.0,6.1,3.703,4.54,10.0,0.85,1.918,1.311,2.26,4.99,23.569,-0.04,1.0,-4.0,3.451,5.843
8.258,5.6,5.0,6.1,3.703,4.54,10.0,0.85,1.918,1.311,2.26,4.99,23.557,0.14,1.0,-4.0,3.451,5.843
8.258,5.6,5.0,6.1,3.703,4.54,10.0,0.85,1.918,1.311,2.26,4.99,23.557,-0.18,1.0,-4.0,3.451,5.843
8.258,5.6,5.0,6.1,3.703,4.54,10.0,0.85,1.918,1.311,2.26,4.99,23.57,-0.07,1.0,-4.0,3.451,5.843
8.258,5.7,5.0,6.1,3.702,4.54,10.0,0.85,1.93,1.334,2.268,5.016,23.649,0.58,1.0,-4.0,3.451,5.865
8.258,5.7,5.0,6.1,3.702,4.54,10.0,0.85,1.93,1.334,2.268,5.016,23.636,-0.7,1.0,-4.0,3.451,5.865
8.258,5.7,5.0,6.1,3.7,4.54,10.0,0.84,1.945,1.361,2.277,5.044,23.79,-0.02,1.0,-4.0,3.451,5.887
8.258,5.7,5.0,6.1,3.7,4.54,10.0,0.84,1.945,1.361,2.277,5.044,23.659,-0.45,1.0,-4.0,3.451,5.887
8.258,5.7,5.0,6.1,3.7,4.54,10.0,0.84,1.945,1.361,2.277,5.044,23.692,-0.13,1.0,-4.0,3.451,5.887
8.258,5.8,5.0,6.1,3.699,4.55,10.0,0.83,1.961,1.395,2.288,5.077,23.777,0.21,1.0,-4.0,3.451,5.912
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.887,0.69,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.85,-0.37,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.863,-0.42,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.838,0.03,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.858,0.28,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.997,0.23,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,23.846,0.21,1.0,-4.0,3.451,5.935
8.258,5.9,5.0,6.1,3.698,4.55,10.0,0.83,1.979,1.431,2.3,5.113,24.024,-0.39,1.0,-4.0,3.451,5.935
8.258,6.0,5.0,6.2,3.697,4.56,10.0,0.82,1.999,1.475,2.313,5.153,24.038,0.29,1.0,-4.0,3.451,5.96
8.258,6.0,5.0,6.2,3.697,4.56,10.0,0.82,1.999,1.475,2.313,5.153,24.015,0.14,1.0,-4.0,3.451,5.96
8.258,6.0,5.0,6.2,3.697,4.56,10.0,0.82,1.999,1.475,2.313,5.153,24.069,-0.25,1.0,-4.0,3.451,5.96
8.258,6.0,5.0,6.2,3.697,4.56,10.0,0.82,1.999,1.475,2.313,5.153,24.007,0.4,1.0,-4.0,3.451,5.96
8.258,6.0,5.0,6.2,3.697,4.56,10.0,0.82,1.999,1.475,2.313,5.153,24.015,-0.27,1.0,-4.0,3.451,5.96
8.258,6.0,5.0,6.2,3.697,4.56,10.0,0.82,1.999,1.475,2.313,5.153,24.033,-0.07,1.0,-4.0,3.451,5.96
8.258,6.1,5.0,6.2,3.695,4.56,10.0,0.81,2.026,1.533,2.332,5.208,24.071,0.41,1.0,-4.0,3.451,5.98
8.258,6.1,5.0,6.2,3.695,4.56,10.0,0.81,2.026,1.533,2.332,5.208,24.128,-0.05,1.0,-4.0,3.451,5.98
8.258,6.1,5.0,6.2,3.695,4.56,10.0,0.81,2.026,1.533,2.332,5.208,24.063,0.0,1.0,-4.0,3.451,5.98
8.258,6.1,5.0,6.2,3.695,4.56,10.0,0.81,2.026,1.533,2.332,5.208,24.133,-0.32,1.0,-4.0,3.451,5.98
8.258,6.2,5.0,6.2,3.694,4.57,10.0,0.8,2.054,1.599,2.35,5.258,24.217,-0.01,1.0,-4.0,3.451,6.005
8.258,6.2,5.0,6.2,3.694,4.57,10.0,0.8,2.054,1.599,2.35,5.258,24.173,-0.47,1.0,-4.0,3.451,6.005
8.258,6.2,5.0,6.2,3.694,4.57,10.0,0.8,2.054,1.599,2.35,5.258,24.237,-0.08,1.0,-4.0,3.451,6.005
8.258,6.2,5.0,6.2,3.694,4.57,10.0,0.8,2.054,1.599,2.35,5.258,24.191,-0.43,1.0,-4.0,3.451,6.005
8.258,6.2,5.0,6.2,3.694,4.57,10.0,0.8,2.054,1.599,2.35,5.258,24.228,-0.05,1.0,-4.0,3.451,6.005
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.244,-0.01,1.0,-4.0,3.451,6.633
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.238,1.01,1.0,-4.0,3.451,6.633
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.332,-0.27,1.0,-4.0,3.451,6.633
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.265,0.07,1.0,-4.0,3.451,6.633
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.286,0.33,1.0,-4.0,3.451,6.633
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.371,0.22,1.0,-4.0,3.451,6.633
8.258,6.3,5.0,6.5,3.654,4.6,10.0,0.79,2.074,1.641,2.368,5.303,24.429,-0.21,1.0,-4.0,3.451,6.633
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.505,0.28,1.0,-4.0,3.451,6.66
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.337,0.23,1.0,-4.0,3.451,6.66
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.533,0.03,1.0,-4.0,3.451,6.66
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.399,0.52,1.0,-4.0,3.451,6.66
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.527,-0.21,1.0,-4.0,3.451,6.66
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.353,-0.47,1.0,-4.0,3.451,6.66
8.258,6.4,5.0,6.5,3.652,4.6,10.0,0.79,2.087,1.662,2.386,5.344,24.362,0.15,1.0,-4.0,3.451,6.66
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.44,-0.83,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.532,0.05,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.543,0.02,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.573,-0.37,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.548,-0.42,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.484,0.92,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.6,-0.12,1.0,-4.0,3.451,6.69
8.258,6.5,5.0,6.5,3.651,4.61,10.0,0.77,2.102,1.686,2.406,5.389,24.488,0.71,1.0,-4.0,3.451,6.69
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.546,0.26,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.608,-0.53,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.718,-0.53,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.722,-0.19,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.697,-0.19,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.631,0.1,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.661,-0.82,1.0,-4.0,3.451,6.718
8.258,6.6,5.0,6.5,3.649,4.61,10.0,0.76,2.124,1.722,2.434,5.45,24.698,0.81,1.0,-4.0,3.451,6.718
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.775,-0.26,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.706,-0.22,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.657,-0.42,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.832,-0.13,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.709,0.16,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.8,0.22,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.736,-0.4,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.792,-0.16,1.0,-4.0,3.451,6.747
8.258,6.7,5.0,6.5,3.648,4.62,10.0,0.75,2.145,1.756,2.463,5.507,24.739,-0.09,1.0,-4.0,3.451,6.747
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.744,-0.46,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.788,-0.2,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.737,-0.26,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.921,-0.93,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.811,-0.42,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.812,0.49,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.856,0.16,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.764,0.51,1.0,-4.0,3.451,6.775
8.258,6.8,5.0,6.5,3.646,4.62,10.0,0.74,2.173,1.799,2.502,5.581,24.739,-0.26,1.0,-4.0,3.451,6.775
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.096,0.32,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,24.998,-0.38,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.009,1.19,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.104,0.0,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,24.941,-0.39,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.084,-0.54,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,24.969,-0.3,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.086,-0.27,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.09,0.06,1.0,-4.0,3.451,6.802
8.258,7.0,5.0,6.5,3.644,4.63,10.0,0.73,2.212,1.864,2.555,5.676,25.106,-0.55,1.0,-4.0,3.451,6.802
8.258,7.2,5.0,6.7,3.643,4.63,10.0,0.71,2.264,1.954,2.624,5.791,25.298,0.41,1.0,-4.0,3.451,6.83
8.258,7.2,5.0,6.7,3.643,4.63,10.0,0.71,2.264,1.954,2.624,5.791,25.277,0.46,1.0,-4.0,3.451,6.83
8.258,7.2,5.0,6.7,3.643,4.63,10.0,0.71,2.264,1.954,2.624,5.791,25.265,-0.61,1.0,-4.0,3.451,6.83
