Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.575,8.2,5.0,6.9,3.61,4.65,7.0,0.64,1.321,1.184,1.559,3.322,16.976,2.227,-0.964,-20.56,9.55,-61.13,-31.15,-0.26,200.0,59.0,0.006,6.83
0.575,7.4,5.0,6.5,3.637,4.64,6.0,0.71,1.23,1.158,1.315,3.003,16.114,0.813,-1.069,25.26,-28.13,-33.81,6.64,-0.07,200.0,59.0,0.006,6.165
0.575,5.7,5.0,6.0,3.712,4.55,4.0,0.92,0.832,0.448,0.865,2.032,14.501,0.901,-0.759,5.33,-10.85,-30.08,-6.09,-0.23,200.0,59.0,0.006,4.92
0.575,15.8,5.0,7.8,3.48,5.25,7.0,0.1,1.932,1.601,3.1,5.343,24.563,1.318,0.421,-39.19,40.5,-23.5,-27.69,-0.74,200.0,59.0,0.006,0.0
0.575,16.0,5.0,7.8,3.48,5.25,5.0,0.1,1.89,1.447,3.21,5.559,24.859,0.008,-0.131,-9.9,2.0,0.5,-10.32,-0.27,200.0,59.0,0.006,0.0
0.575,13.1,6.0,9.0,3.894,8.0,5.0,0.6,0.283,-0.584,0.392,0.675,21.913,-0.508,-1.805,3.38,-46.0,-2.02,-22.44,0.08,200.0,59.0,0.006,0.0
0.585,15.6,5.0,7.77,3.457,5.14,5.0,0.11,1.955,1.744,3.617,6.217,24.351,-0.16,-0.234,7.24,-10.24,0.98,2.87,-0.17,200.0,59.0,0.006,13.721
0.585,15.3,5.0,7.74,3.463,5.11,7.0,0.12,1.983,1.67,3.602,5.949,24.08,-0.946,-2.339,17.33,-69.6,2.58,-18.55,-0.53,200.0,59.0,0.006,13.453
0.585,14.6,5.0,7.71,3.477,5.08,6.0,0.14,1.819,1.541,3.243,5.683,23.47,0.057,0.047,-20.32,11.42,2.49,-16.75,-0.15,200.0,59.0,0.006,12.785
0.585,14.3,5.0,7.67,3.482,5.08,7.0,0.15,1.843,1.548,3.162,5.466,23.211,2.324,0.085,-2.38,25.09,-59.44,-0.83,-0.42,200.0,59.0,0.006,12.516
0.585,14.2,5.0,7.65,3.484,5.04,5.0,0.15,1.834,1.542,3.125,5.417,23.086,-0.346,-0.071,42.08,-25.22,1.04,35.06,-0.43,200.0,59.0,0.006,12.416
0.585,14.0,5.0,7.65,3.488,5.04,4.0,0.16,1.689,1.433,3.052,5.557,22.856,0.889,0.779,-19.83,35.43,-13.34,-5.87,0.05,200.0,59.0,0.006,12.216
0.585,13.9,5.0,7.65,3.49,5.04,6.0,0.16,1.755,1.454,3.024,5.348,22.681,1.357,-0.578,-4.42,2.1,-39.29,-12.05,-0.23,200.0,59.0,0.006,12.148
0.585,13.8,5.0,7.65,3.492,5.05,5.0,0.17,1.728,1.426,2.996,5.327,22.626,-1.185,-0.46,-24.52,-9.64,31.47,-27.58,-0.16,200.0,59.0,0.006,12.048
0.585,13.1,5.0,7.5,3.504,5.02,5.0,0.2,1.653,1.333,2.779,5.012,21.947,0.166,0.293,-37.36,26.21,4.64,-27.83,-0.17,200.0,59.0,0.006,11.412
0.585,13.0,5.0,7.5,3.506,5.03,7.0,0.21,1.668,1.353,2.734,4.941,21.769,0.857,0.093,-45.5,32.22,-13.57,-37.68,-0.27,200.0,59.0,0.006,11.312
0.585,12.6,5.0,7.5,3.513,5.0,7.0,0.23,1.588,1.24,2.65,4.864,21.429,-0.918,-1.294,15.74,-45.24,10.63,-4.99,-0.07,200.0,59.0,0.006,10.944
0.585,12.5,5.0,7.5,3.515,4.99,6.0,0.24,1.505,1.256,2.649,4.953,21.382,0.301,-0.233,-15.21,5.0,-7.06,-16.37,0.07,200.0,59.0,0.006,10.844
0.585,12.1,5.0,7.4,3.522,4.97,5.0,0.28,1.626,1.267,2.425,4.582,21.005,-2.412,-4.042,65.02,-144.63,18.54,-1.99,-0.36,200.0,59.0,0.006,10.475
0.585,12.0,5.0,7.4,3.524,4.97,5.0,0.29,1.529,1.16,2.488,4.663,20.933,-0.241,-0.103,4.72,-6.88,4.62,2.57,-0.03,200.0,59.0,0.006,10.375
0.585,11.6,5.0,7.3,3.531,4.95,5.0,0.33,1.43,1.185,2.404,4.604,20.4,-0.31,-0.811,14.47,-28.06,-1.07,0.82,0.13,200.0,59.0,0.006,10.007
0.585,9.1,5.0,7.0,3.585,4.77,5.0,0.58,1.386,1.253,1.779,3.598,17.984,-0.467,-2.69,30.84,-79.42,-15.14,-11.98,0.14,200.0,59.0,0.006,7.666
0.585,8.1,5.0,6.7,3.613,4.66,6.0,0.66,1.319,1.212,1.528,3.346,16.973,0.993,-0.006,-24.94,21.35,-21.54,-21.47,-0.13,200.0,59.0,0.006,6.762
0.585,7.5,5.0,6.5,3.633,4.63,7.0,0.71,1.156,0.863,1.298,2.808,16.32,-0.065,-1.803,23.94,-52.47,-17.18,-5.23,-0.98,200.0,59.0,0.006,6.225
0.585,7.1,5.0,6.5,3.648,4.58,6.0,0.72,1.181,1.1,1.229,2.805,15.983,0.9,-0.724,28.57,-21.46,-34.37,14.15,-0.09,200.0,59.0,0.006,5.865
0.585,5.9,5.0,6.1,3.701,4.54,6.0,0.84,0.882,0.542,0.892,2.115,14.831,0.231,0.024,5.76,-0.05,-6.82,5.29,-0.27,200.0,59.0,0.006,5.055
0.585,6.2,5.0,6.2,3.687,4.59,6.0,0.85,0.98,0.779,0.959,2.294,15.105,1.763,-0.156,-49.64,37.25,-38.46,-44.79,-0.07,200.0,59.0,0.006,5.29
0.585,5.8,5.0,6.0,3.707,4.56,6.0,0.9,0.891,0.621,0.891,2.083,14.547,-1.627,-1.649,27.45,-65.55,24.14,-0.03,0.09,200.0,59.0,0.006,5.02
0.585,5.6,5.0,5.8,3.717,4.55,4.0,0.93,0.834,0.5,0.858,1.993,14.409,-0.411,-1.181,-1.33,-29.64,1.34,-18.01,0.06,200.0,59.0,0.006,4.851
0.585,16.0,5.0,7.8,3.48,5.25,7.0,0.1,1.819,1.56,3.217,5.489,24.753,0.295,1.313,-32.65,47.92,8.74,-9.23,-0.49,200.0,59.0,0.006,0.0
0.585,16.5,5.0,7.8,3.475,5.27,7.0,0.09,1.886,1.569,3.349,5.641,25.391,-0.916,-1.59,25.03,-56.32,6.55,-1.26,-0.5,200.0,59.0,0.006,0.0
0.585,16.6,5.0,7.8,3.475,5.27,6.0,0.09,1.855,1.583,3.323,5.723,25.402,-0.54,-1.857,23.41,-57.93,-5.14,-6.46,-0.24,200.0,59.0,0.006,0.0
0.585,15.0,6.0,9.0,3.708,8.0,7.0,0.6,0.716,-0.108,0.962,1.895,23.818,-0.31,-3.376,59.82,-107.3,-29.9,3.07,-0.4,200.0,59.0,0.006,0.0
0.585,15.8,5.0,7.88,3.455,5.35,8.0,0.09,2.716,1.981,3.815,5.047,24.703,1.866,-3.727,40.74,-85.27,-86.11,-18.31,-1.52,200.0,59.0,0.006,12.577
0.585,11.2,5.0,7.19,3.562,5.04,8.0,0.24,1.542,1.124,2.377,3.694,20.133,2.883,-0.935,31.04,-8.55,-88.2,13.26,-1.08,200.0,59.0,0.006,9.792
0.585,10.4,5.0,7.09,3.576,4.98,8.0,0.32,1.456,1.154,2.127,3.577,19.282,-0.887,-3.162,77.97,-116.78,-16.32,21.67,-0.68,200.0,59.0,0.006,9.179
0.595,15.2,5.0,7.74,3.465,5.14,7.0,0.12,1.955,1.651,3.563,5.903,24.156,-0.365,-0.785,22.77,-32.38,-0.82,8.11,-0.49,200.0,59.0,0.006,13.353
0.595,15.1,5.0,7.74,3.467,5.12,7.0,0.12,1.952,1.645,3.512,5.842,23.884,-0.148,-0.342,-10.07,-4.31,2.86,-13.59,-0.51,200.0,59.0,0.006,13.253
0.595,14.8,5.0,7.71,3.473,5.12,3.0,0.13,1.833,1.59,3.305,5.82,23.723,-0.387,-0.521,-0.19,-15.47,5.98,-7.73,-0.06,200.0,59.0,0.006,12.985
0.595,14.4,5.0,7.67,3.481,5.1,6.0,0.14,1.84,1.549,3.194,5.533,23.237,0.577,-3.116,74.22,-101.14,-54.14,18.35,-0.34,200.0,59.0,0.006,12.616
0.595,13.8,5.0,7.65,3.492,5.05,5.0,0.17,1.637,1.44,2.971,5.58,22.661,-0.206,-0.744,7.1,-22.34,-1.94,-4.73,0.2,200.0,59.0,0.006,12.048
0.595,13.6,5.0,7.6,3.495,5.07,6.0,0.18,1.683,1.38,2.945,5.278,22.44,2.381,0.226,-16.66,36.16,-58.31,-11.01,-0.03,200.0,59.0,0.006,11.88
0.595,13.5,5.0,7.6,3.497,5.05,7.0,0.18,1.749,1.448,2.887,5.124,22.46,1.244,-1.639,66.53,-57.44,-58.26,33.21,-0.39,200.0,59.0,0.006,11.78
0.595,13.3,5.0,7.6,3.5,4.99,7.0,0.19,1.749,1.461,2.808,5.003,22.1,0.753,-2.877,52.26,-83.39,-52.96,3.0,-0.49,200.0,59.0,0.006,11.58
0.595,12.8,5.0,7.5,3.509,5.03,7.0,0.22,1.562,1.273,2.724,5.009,21.722,-0.519,0.107,12.46,-8.6,12.46,12.24,0.03,200.0,59.0,0.006,11.144
0.595,12.4,5.0,7.5,3.516,4.96,6.0,0.24,1.628,1.285,2.54,4.715,21.185,-0.189,-0.822,3.43,-22.15,-2.4,-9.0,-0.3,200.0,59.0,0.006,10.744
0.595,11.6,5.0,7.3,3.531,4.95,5.0,0.33,1.526,1.152,2.363,4.531,20.389,-0.645,-2.232,-9.88,-52.16,0.38,-40.9,-0.06,200.0,59.0,0.006,10.007
0.595,11.6,5.0,7.4,3.531,4.92,5.0,0.33,1.543,1.169,2.35,4.496,20.506,-0.756,-1.312,5.75,-39.87,8.17,-14.12,-0.15,200.0,59.0,0.006,9.975
0.595,11.2,5.0,7.3,3.539,4.89,6.0,0.36,1.536,1.157,2.246,4.366,20.12,-2.281,-2.268,63.5,-104.26,30.51,21.48,-0.17,200.0,59.0,0.006,9.607
0.595,11.2,5.0,7.3,3.539,4.9,5.0,0.37,1.53,1.15,2.245,4.383,20.104,-0.451,-0.7,-0.42,-20.04,6.25,-10.52,-0.13,200.0,59.0,0.006,9.607
0.595,10.9,5.0,7.3,3.544,4.86,6.0,0.4,1.525,1.142,2.163,4.281,19.872,1.48,-1.972,27.16,-43.66,-60.32,-5.36,-0.15,200.0,59.0,0.006,9.307
0.595,9.6,5.0,7.15,3.572,4.77,6.0,0.53,1.46,1.201,1.891,3.78,18.576,-0.743,-1.384,-20.29,-28.79,11.81,-37.5,-0.31,200.0,59.0,0.006,8.103
0.595,9.4,5.0,7.1,3.577,4.77,7.0,0.56,1.445,1.194,1.853,3.673,18.234,2.166,2.194,-24.15,82.44,-35.02,11.18,-0.38,200.0,59.0,0.006,7.934
0.595,9.3,5.0,7.1,3.58,4.74,4.0,0.56,1.43,1.222,1.814,3.813,18.172,1.381,0.391,-10.35,27.2,-31.55,-3.19,-0.11,200.0,59.0,0.006,7.834
0.595,8.4,5.0,6.9,3.604,4.7,7.0,0.64,1.32,1.094,1.592,3.244,17.354,0.317,-2.877,3.88,-64.19,-32.87,-38.47,-0.64,200.0,59.0,0.006,7.03
0.595,7.2,5.0,6.5,3.644,4.62,5.0,0.73,1.189,1.093,1.257,2.855,16.156,-0.452,0.572,-20.89,18.76,20.38,-9.59,-0.16,200.0,59.0,0.006,5.965
0.595,6.9,5.0,6.4,3.656,4.62,7.0,0.77,1.098,0.904,1.154,2.659,15.739,-2.39,-2.464,28.6,-92.89,37.94,-11.28,-0.48,200.0,59.0,0.006,5.795
0.595,16.7,5.0,7.8,3.475,5.27,6.0,0.09,1.88,1.705,3.326,5.713,25.586,-1.772,-3.106,40.89,-107.46,14.08,-10.07,-0.27,200.0,59.0,0.006,0.0
0.595,15.0,6.0,9.0,3.708,8.0,7.0,0.6,0.727,-0.107,0.962,1.895,23.956,0.297,-1.207,0.26,-24.68,-17.9,-17.31,-0.22,200.0,59.0,0.006,0.0
0.595,11.0,5.0,7.16,3.566,5.03,8.0,0.26,1.507,1.162,2.315,3.711,19.905,5.006,-2.588,77.76,-48.15,-167.77,29.06,-0.75,200.0,59.0,0.006,9.642
0.595,10.6,5.0,7.11,3.573,4.99,8.0,0.3,1.46,1.19,2.19,3.738,19.48,2.38,-0.47,-49.48,36.23,-58.23,-49.24,-0.36,200.0,59.0,0.006,9.335
0.595,9.6,5.0,6.98,3.592,4.91,8.0,0.42,1.369,1.068,1.877,3.347,18.523,2.387,-0.124,4.69,17.93,-65.12,2.22,-0.87,200.0,59.0,0.006,8.559
0.595,14.5,6.0,9.0,3.752,8.0,8.0,0.59,0.625,-0.254,0.802,1.585,23.397,1.746,1.615,5.07,51.09,-33.81,27.81,-0.71,200.0,59.0,0.006,0.0
0.605,15.7,5.0,7.77,3.455,5.16,4.0,0.11,1.952,1.809,3.584,6.321,24.706,0.808,0.325,-12.5,21.49,-16.84,-5.91,0.0,200.0,59.0,0.006,13.821
0.605,15.6,5.0,7.77,3.457,5.14,5.0,0.11,1.901,1.711,3.581,6.443,24.433,-0.762,-1.105,40.97,-52.84,4.03,18.79,0.05,200.0,59.0,0.006,13.721
0.605,15.5,5.0,7.74,3.459,5.16,7.0,0.11,2.03,1.697,3.689,6.056,24.458,0.399,-0.689,68.45,-45.12,-28.61,48.5,-0.57,200.0,59.0,0.006,13.653
0.605,14.5,5.0,7.71,3.479,5.05,4.0,0.14,1.807,1.518,3.21,5.631,23.345,0.349,-1.902,42.52,-61.08,-32.9,8.36,-0.17,200.0,59.0,0.006,12.685
0.605,14.4,5.0,7.67,3.481,5.1,7.0,0.14,1.812,1.531,3.187,5.576,23.409,0.525,1.157,16.34,23.96,-7.29,31.1,-0.21,200.0,59.0,0.006,12.616
0.605,13.7,5.0,7.65,3.493,5.0,6.0,0.17,1.709,1.394,2.961,5.284,22.645,-0.231,-1.067,20.75,-36.96,-6.41,2.02,-0.15,200.0,59.0,0.006,11.948
0.605,13.4,5.0,7.6,3.499,5.04,5.0,0.19,1.721,1.416,2.859,5.102,22.307,0.588,0.035,-22.99,17.72,-11.51,-19.19,-0.32,200.0,59.0,0.006,11.68
0.605,12.8,5.0,7.5,3.509,4.99,7.0,0.22,1.658,1.336,2.666,4.859,21.792,-0.871,-1.69,-1.18,-47.02,9.48,-25.97,-0.3,200.0,59.0,0.006,11.112
0.605,12.7,5.0,7.5,3.511,5.01,6.0,0.23,1.489,1.301,2.7,5.107,21.576,1.11,-0.137,-21.45,18.11,-27.29,-20.41,0.15,200.0,59.0,0.006,11.044
0.605,12.6,5.0,7.5,3.513,5.0,6.0,0.23,1.615,1.274,2.628,4.828,21.563,0.13,-0.478,36.47,-27.41,-13.94,24.21,-0.18,200.0,59.0,0.006,10.944
0.605,12.4,5.0,7.5,3.516,4.98,7.0,0.25,1.709,1.353,2.479,4.626,21.405,-0.268,-0.44,21.07,-22.99,-0.18,11.56,-0.55,200.0,59.0,0.006,10.744
0.605,12.4,5.0,7.5,3.516,5.0,5.0,0.26,1.597,1.247,2.571,4.762,21.282,0.573,-2.015,18.47,-49.86,-35.64,-13.93,-0.16,200.0,59.0,0.006,10.744
0.605,11.6,5.0,7.3,3.531,4.95,5.0,0.33,1.53,1.156,2.36,4.524,20.427,-0.718,0.607,-24.45,18.81,28.76,-12.0,-0.08,200.0,59.0,0.006,10.007
0.605,11.6,5.0,7.3,3.531,4.95,7.0,0.33,1.637,1.256,2.289,4.35,20.464,-1.524,-1.351,38.76,-64.92,22.9,13.27,-0.52,200.0,59.0,0.006,10.007
0.605,10.9,5.0,7.3,3.544,4.86,5.0,0.4,1.514,1.132,2.15,4.316,19.814,-0.958,-0.56,-1.42,-21.66,21.37,-9.5,-0.07,200.0,59.0,0.006,9.307
0.605,10.7,5.0,7.3,3.548,4.87,5.0,0.43,1.403,1.091,2.126,4.187,19.649,-0.86,0.267,-17.77,6.33,28.55,-11.29,0.26,200.0,59.0,0.006,9.139
0.605,10.2,5.0,7.2,3.559,4.85,6.0,0.48,1.472,1.168,2.0,4.157,19.109,-1.484,-0.164,-41.67,1.82,45.97,-38.14,0.0,200.0,59.0,0.006,8.671
0.605,9.1,5.0,7.0,3.585,4.77,5.0,0.58,1.416,1.219,1.776,3.736,17.945,1.729,-0.524,-2.33,5.98,-50.59,-9.74,-0.13,200.0,59.0,0.006,7.666
0.605,9.0,5.0,7.0,3.587,4.75,5.0,0.59,1.408,1.22,1.756,3.696,17.974,0.601,-0.177,-8.48,5.9,-16.19,-9.89,-0.14,200.0,59.0,0.006,7.566
0.605,6.2,5.0,6.2,3.687,4.58,4.0,0.83,0.986,0.799,0.96,2.296,15.066,0.986,-0.006,-22.93,20.62,-22.58,-19.75,-0.01,200.0,59.0,0.006,5.29
0.605,15.9,5.0,7.8,3.48,5.25,7.0,0.1,1.831,1.554,3.212,5.537,24.769,0.187,0.797,-42.83,40.98,9.2,-24.94,-0.34,200.0,59.0,0.006,0.0
0.605,16.3,5.0,7.8,3.48,5.25,7.0,0.1,1.894,1.546,3.178,5.439,25.244,1.395,-2.384,-12.26,-35.46,-55.47,-45.73,-0.58,200.0,59.0,0.006,0.0
0.605,17.0,5.0,7.85,3.466,5.29,7.0,0.09,1.909,1.65,3.487,5.962,25.847,0.587,-2.435,28.53,-64.3,-41.31,-11.51,-0.21,200.0,59.0,0.006,0.0
0.605,15.7,6.0,9.0,3.652,8.0,7.0,0.6,0.885,0.082,1.162,2.095,24.539,-0.111,0.183,11.73,-2.54,2.47,12.76,-0.47,200.0,59.0,0.006,0.0
0.605,16.1,6.0,9.0,3.613,8.0,7.0,0.6,1.009,0.207,1.282,1.855,24.916,-0.383,-2.923,29.53,-85.56,-19.46,-17.86,-0.84,200.0,59.0,0.006,0.0
0.605,10.6,5.0,7.11,3.573,4.99,8.0,0.3,1.471,1.157,2.19,3.609,19.57,1.601,2.596,-5.3,78.25,-20.39,33.81,-0.71,200.0,59.0,0.006,9.335
0.615,15.4,5.0,7.74,3.461,5.14,6.0,0.11,1.938,1.703,3.564,6.091,24.37,1.973,0.031,-8.13,24.34,-52.35,-6.5,-0.23,200.0,59.0,0.006,13.553
0.615,15.3,5.0,7.74,3.463,5.11,7.0,0.12,1.957,1.666,3.593,5.973,24.16,0.32,-1.2,51.78,-50.04,-28.14,26.38,-0.44,200.0,59.0,0.006,13.453
0.615,15.1,5.0,7.74,3.467,5.12,5.0,0.12,1.807,1.591,3.407,6.283,24.12,-0.148,-2.033,33.2,-65.27,-19.17,-2.06,0.13,200.0,59.0,0.006,13.253
0.615,14.8,5.0,7.71,3.473,5.09,7.0,0.13,1.914,1.615,3.371,5.681,23.739,1.208,-0.598,-3.51,-0.3,-37.6,-11.99,-0.5,200.0,59.0,0.006,12.985
0.615,14.8,5.0,7.71,3.473,5.12,4.0,0.13,1.833,1.59,3.305,5.82,23.797,0.651,-0.002,4.5,4.28,-18.65,3.83,-0.06,200.0,59.0,0.006,12.985
0.615,13.8,5.0,7.65,3.492,5.05,5.0,0.17,1.676,1.401,2.999,5.431,22.677,-0.748,-1.52,-2.57,-41.9,7.96,-25.02,0.03,200.0,59.0,0.006,12.048
0.615,13.3,5.0,7.6,3.5,4.99,7.0,0.19,1.762,1.466,2.799,4.991,22.312,-0.463,-0.942,13.31,-33.17,2.28,-2.74,-0.52,200.0,59.0,0.006,11.58
0.615,13.1,5.0,7.5,3.504,5.02,5.0,0.2,1.623,1.293,2.796,5.051,22.0,0.172,0.685,-43.95,39.06,8.88,-27.39,-0.04,200.0,59.0,0.006,11.412
0.615,13.1,5.0,7.5,3.504,5.02,6.0,0.2,1.655,1.336,2.778,5.009,22.092,0.708,-1.434,10.38,-31.63,-33.48,-12.63,-0.18,200.0,59.0,0.006,11.412
0.615,13.0,5.0,7.5,3.506,5.03,6.0,0.21,1.644,1.322,2.75,4.973,21.941,1.442,0.322,-33.26,38.03,-30.89,-23.68,-0.16,200.0,59.0,0.006,11.312
0.615,12.9,5.0,7.5,3.508,5.0,3.0,0.22,1.615,1.28,2.73,4.959,21.834,0.168,-0.484,4.23,-11.75,-9.47,-3.64,-0.1,200.0,59.0,0.006,11.212
0.615,12.8,5.0,7.5,3.509,4.99,5.0,0.22,1.65,1.325,2.672,4.87,21.652,0.5,1.775,-19.24,55.98,4.87,10.16,-0.27,200.0,59.0,0.006,11.112
0.615,12.8,5.0,7.5,3.509,5.03,6.0,0.22,1.622,1.29,2.698,4.914,21.817,-1.384,-0.089,-30.88,-0.94,42.6,-27.8,-0.13,200.0,59.0,0.006,11.144
0.615,12.7,5.0,7.5,3.511,5.01,6.0,0.23,1.618,1.28,2.662,4.871,21.616,1.084,-1.812,-1.84,-30.85,-44.87,-28.79,-0.15,200.0,59.0,0.006,11.044
0.615,12.0,5.0,7.4,3.524,4.95,3.0,0.28,1.465,1.2,2.515,4.756,20.997,0.01,0.195,-26.59,17.55,6.07,-19.86,0.06,200.0,59.0,0.006,10.375
0.615,11.9,5.0,7.4,3.525,4.95,4.0,0.3,1.587,1.216,2.388,4.54,20.75,0.031,0.404,11.31,4.32,0.61,15.76,-0.27,200.0,59.0,0.006,10.275
0.615,11.8,5.0,7.4,3.527,4.96,7.0,0.31,1.618,1.247,2.336,4.461,20.698,0.133,0.113,9.43,-0.58,-4.34,9.79,-0.4,200.0,59.0,0.006,10.175
0.615,11.4,5.0,7.3,3.535,4.93,7.0,0.35,1.579,1.203,2.287,4.36,20.388,1.647,1.02,-31.88,55.79,-30.78,-12.02,-0.33,200.0,59.0,0.006,9.807
0.615,11.1,5.0,7.3,3.54,4.89,6.0,0.38,1.515,1.134,2.211,4.384,20.095,0.184,-2.761,43.87,-84.22,-36.37,-3.85,-0.06,200.0,59.0,0.006,9.507
0.615,10.9,5.0,7.3,3.544,4.9,7.0,0.41,1.564,1.181,2.208,4.16,19.792,0.13,-0.622,35.41,-30.46,-15.12,21.01,-0.4,200.0,59.0,0.006,9.339
0.615,9.2,5.0,7.1,3.582,4.74,7.0,0.57,1.426,1.18,1.815,3.567,18.235,-0.48,0.81,-11.08,19.59,22.03,2.66,-0.46,200.0,59.0,0.006,7.734
0.615,9.1,5.0,7.1,3.585,4.72,6.0,0.57,1.415,1.19,1.788,3.593,17.997,1.118,-2.982,10.06,-63.74,-57.89,-36.14,-0.37,200.0,59.0,0.006,7.634
0.615,9.1,5.0,7.0,3.585,4.77,5.0,0.58,1.416,1.233,1.771,3.798,17.957,-1.777,-1.996,35.55,-81.8,25.36,0.5,-0.03,200.0,59.0,0.006,7.666
0.615,8.6,5.0,7.0,3.598,4.71,5.0,0.62,1.358,1.303,1.676,3.381,17.509,0.66,-0.045,-11.32,11.0,-16.46,-10.38,0.18,200.0,59.0,0.006,7.198
0.615,7.5,5.0,6.5,3.633,4.63,6.0,0.71,1.21,1.066,1.334,2.927,16.474,0.123,-0.978,-0.13,-21.68,-11.71,-14.8,-0.36,200.0,59.0,0.006,6.225
0.615,7.0,5.0,6.5,3.652,4.61,3.0,0.75,1.178,1.14,1.212,2.749,15.958,0.172,-0.876,22.96,-29.96,-16.24,6.53,0.07,200.0,59.0,0.006,5.83
0.615,6.0,5.0,6.1,3.697,4.57,6.0,0.86,0.926,0.665,0.914,2.174,14.973,2.029,-0.749,9.09,-1.76,-63.58,-3.45,-0.08,200.0,59.0,0.006,5.155
0.615,15.8,5.0,7.8,3.48,5.25,6.0,0.1,1.756,1.576,3.209,5.564,24.695,0.632,-1.929,14.6,-46.07,-36.37,-16.45,-0.26,200.0,59.0,0.006,0.0
0.615,16.0,5.0,7.8,3.48,5.25,7.0,0.1,2.009,1.582,3.106,5.35,24.87,-1.495,-0.746,26.94,-45.45,29.83,11.9,-0.73,200.0,59.0,0.006,0.0
0.615,16.3,5.0,7.8,3.48,5.25,7.0,0.1,1.853,1.506,3.213,5.529,25.322,-0.705,-2.923,55.57,-102.56,-15.47,3.75,-0.37,200.0,59.0,0.006,0.0
0.615,16.8,5.0,7.8,3.475,5.27,7.0,0.09,1.869,1.635,3.325,5.717,25.805,0.354,0.325,-3.66,12.94,-6.27,1.75,-0.26,200.0,59.0,0.006,0.0
0.615,16.9,5.0,7.8,3.475,5.27,7.0,0.09,1.826,1.57,3.321,5.729,25.801,0.844,-0.849,-7.1,-8.1,-29.13,-18.84,-0.22,200.0,59.0,0.006,0.0
0.615,14.2,6.0,9.0,3.78,8.0,7.0,0.6,0.519,-0.326,0.712,1.385,23.137,-1.126,-2.163,21.24,-72.3,8.61,-14.27,-0.17,200.0,59.0,0.006,0.0
0.615,10.8,5.0,7.14,3.569,5.01,8.0,0.28,1.499,1.081,2.252,3.572,19.652,-2.367,1.03,29.7,-13.79,68.42,40.93,-1.22,200.0,59.0,0.006,9.49
0.615,9.0,5.0,6.88,3.606,4.85,8.0,0.49,1.303,1.047,1.682,3.195,17.886,-0.85,-0.342,19.76,-26.07,16.9,11.81,-0.74,200.0,59.0,0.006,8.101
0.615,16.9,6.0,9.0,3.542,8.19,9.0,0.7,1.085,0.001,1.222,0.915,25.878,10.827,-4.112,83.63,-29.08,-346.47,9.94,-1.78,200.0,59.0,0.006,0.0
0.625,15.4,5.0,7.74,3.461,5.14,5.0,0.11,1.959,1.687,3.616,6.049,24.315,1.749,1.45,-10.44,57.38,-34.25,13.18,-0.37,200.0,59.0,0.006,13.553
0.625,15.3,5.0,7.74,3.463,5.11,5.0,0.12,2.034,1.687,3.574,5.926,24.312,-0.724,0.128,21.27,-14.56,17.52,20.19,-0.62,200.0,59.0,0.006,13.453
0.625,14.4,5.0,7.67,3.481,5.1,5.0,0.14,1.855,1.559,3.198,5.51,23.44,0.773,1.347,-25.56,52.35,-5.32,-1.36,-0.42,200.0,59.0,0.006,12.616
0.625,13.8,5.0,7.65,3.492,5.05,7.0,0.17,1.699,1.394,3.0,5.368,22.835,0.121,-0.917,-36.27,-3.11,-4.94,-45.09,-0.02,200.0,59.0,0.006,12.048
0.625,13.3,5.0,7.6,3.5,4.99,7.0,0.19,1.716,1.414,2.821,5.044,22.254,0.415,-2.646,31.76,-74.32,-40.12,-13.16,-0.36,200.0,59.0,0.006,11.58
0.625,13.0,5.0,7.5,3.506,5.03,6.0,0.21,1.711,1.409,2.706,4.885,22.055,0.976,0.502,-36.26,39.43,-16.43,-23.41,-0.46,200.0,59.0,0.006,11.312
0.625,12.6,5.0,7.5,3.513,5.01,6.0,0.24,1.629,1.291,2.618,4.812,21.653,1.967,-5.145,48.0,-126.07,-107.9,-37.36,-0.23,200.0,59.0,0.006,10.944
0.625,11.8,5.0,7.4,3.527,4.96,7.0,0.31,1.622,1.25,2.332,4.456,20.69,-0.511,-1.639,36.5,-61.96,-6.44,6.28,-0.42,200.0,59.0,0.006,10.175
0.625,10.9,5.0,7.3,3.544,4.9,7.0,0.41,1.582,1.194,2.215,4.104,19.869,0.38,-2.451,9.91,-59.45,-33.61,-28.91,-0.52,200.0,59.0,0.006,9.339
0.625,10.8,5.0,7.3,3.546,4.89,7.0,0.42,1.594,1.185,2.118,4.021,19.692,-0.237,-1.607,22.06,-51.42,-11.24,-5.6,-0.7,200.0,59.0,0.006,9.239
0.625,9.1,5.0,7.0,3.585,4.77,5.0,0.58,1.416,1.237,1.769,3.815,18.083,0.232,-1.242,2.52,-28.52,-17.69,-16.79,0.0,200.0,59.0,0.006,7.666
0.625,9.0,5.0,7.0,3.587,4.75,7.0,0.59,1.403,1.161,1.769,3.478,17.969,-0.576,-1.522,25.91,-54.7,-1.76,-1.01,-0.52,200.0,59.0,0.006,7.566
0.625,16.3,5.0,7.8,3.48,5.25,5.0,0.1,1.815,1.588,3.205,5.6,25.349,0.593,-1.02,14.29,-25.25,-27.9,-3.32,-0.14,200.0,59.0,0.006,0.0
