Dist,Mv,CL,Typ,LTef,logg,Age,Mass,B-V,U-B,V-I,V-K,V,mul,mub,Vr,UU,VV,WW,[Fe/H],l,b,Av,Mbol
0.155,11.6,5.0,7.4,3.531,4.91,2.0,0.32,1.535,1.161,2.354,4.507,17.539,-0.974,2.194,-12.07,16.39,13.59,-2.04,-0.12,200.0,59.0,0.005,9.975
0.155,10.9,5.0,7.3,3.544,4.86,4.0,0.4,1.42,1.081,2.164,4.214,16.854,5.861,3.456,1.21,34.63,-33.27,14.13,0.2,200.0,59.0,0.005,9.307
0.155,10.7,5.0,7.3,3.548,4.87,7.0,0.43,1.572,1.189,2.145,4.024,16.58,-5.335,-7.581,42.1,-78.71,13.11,7.37,-0.59,200.0,59.0,0.005,9.139
0.165,15.5,5.0,7.77,3.459,5.12,7.0,0.11,1.959,1.701,3.634,6.121,21.672,3.306,4.131,-8.96,39.23,-13.26,8.97,-0.31,200.0,59.0,0.005,13.621
0.165,13.4,5.0,7.6,3.499,5.04,5.0,0.19,1.676,1.362,2.877,5.162,19.547,0.506,-1.339,11.96,-12.88,-8.91,4.85,-0.12,200.0,59.0,0.005,11.68
0.165,11.1,5.0,7.3,3.54,4.91,6.0,0.39,1.554,1.173,2.228,4.286,17.175,4.397,5.192,-32.95,60.46,-14.62,-7.31,-0.27,200.0,59.0,0.005,9.507
0.165,10.9,5.0,7.3,3.544,4.86,6.0,0.4,1.527,1.144,2.165,4.274,16.899,-0.798,-7.775,31.43,-66.37,-17.51,-4.41,-0.16,200.0,59.0,0.005,9.307
0.175,15.4,5.0,7.74,3.461,5.14,2.0,0.11,1.871,1.669,3.514,6.346,21.685,0.433,-3.341,25.52,-33.46,-16.0,7.59,0.06,200.0,59.0,0.006,13.553
0.175,15.3,5.0,7.74,3.463,5.11,6.0,0.12,1.846,1.631,3.482,6.338,21.517,-5.988,-6.694,10.38,-66.79,28.59,-19.72,0.07,200.0,59.0,0.006,13.453
0.175,14.0,5.0,7.65,3.488,5.08,7.0,0.16,1.808,1.511,3.059,5.337,20.165,5.07,5.396,-0.16,50.55,-26.39,22.94,-0.41,200.0,59.0,0.006,12.248
0.175,11.2,5.0,7.3,3.539,4.9,7.0,0.37,1.563,1.183,2.25,4.307,17.333,3.865,1.89,-35.4,40.74,-19.32,-22.26,-0.3,200.0,59.0,0.006,9.607
0.175,10.9,5.0,7.3,3.544,4.87,7.0,0.41,1.534,1.152,2.173,4.252,17.128,3.75,-4.585,7.93,-23.85,-41.81,-12.81,-0.21,200.0,59.0,0.006,9.307
0.175,10.7,5.0,7.3,3.548,4.86,2.0,0.42,1.479,1.131,2.107,4.242,16.926,0.653,-3.654,16.77,-30.7,-16.94,-1.25,0.03,200.0,59.0,0.006,9.139
0.175,9.6,5.0,7.15,3.572,4.78,5.0,0.54,1.461,1.199,1.894,3.765,15.863,5.39,-0.584,-2.99,12.85,-42.94,-5.06,-0.34,200.0,59.0,0.006,8.103
0.175,7.8,5.0,6.7,3.623,4.66,7.0,0.69,1.262,1.128,1.429,3.101,14.113,3.335,2.677,-53.15,53.09,-10.14,-34.11,-0.3,200.0,59.0,0.006,6.493
0.175,16.1,5.0,7.8,3.48,5.25,3.0,0.1,1.705,1.492,3.151,5.84,22.345,0.421,-1.902,-4.15,-9.51,-7.18,-11.69,0.17,200.0,59.0,0.006,0.0
0.175,16.3,5.0,7.8,3.48,5.25,5.0,0.1,1.943,1.499,3.205,5.598,22.561,5.928,-3.231,-4.52,-2.59,-53.31,-17.69,-0.15,200.0,59.0,0.006,0.0
0.185,15.0,5.0,7.74,3.469,5.1,7.0,0.12,2.016,1.66,3.413,5.733,21.38,-0.264,-11.487,44.99,-103.76,-35.3,-13.35,-0.64,200.0,59.0,0.006,13.153
0.185,13.1,5.0,7.5,3.504,5.04,5.0,0.2,1.647,1.328,2.785,5.024,19.537,4.0,-1.311,-25.18,14.92,-31.92,-27.51,-0.13,200.0,59.0,0.006,11.412
0.185,12.9,5.0,7.5,3.508,5.0,3.0,0.22,1.529,1.308,2.755,5.128,19.22,-0.892,-2.37,8.49,-23.54,-0.24,-3.43,0.08,200.0,59.0,0.006,11.212
0.185,12.6,5.0,7.5,3.513,5.01,7.0,0.24,1.618,1.279,2.626,4.826,18.859,0.552,1.081,3.9,7.41,-2.46,8.23,-0.18,200.0,59.0,0.006,10.944
0.185,14.6,6.0,9.0,3.741,8.0,6.0,0.6,0.611,-0.244,0.842,1.655,20.98,1.331,-5.778,11.44,-42.38,-27.86,-16.31,-0.24,200.0,59.0,0.006,0.0
0.185,11.2,5.0,7.19,3.562,5.04,8.0,0.24,1.522,1.172,2.377,3.788,17.568,8.276,-6.445,-17.54,-12.23,-81.74,-44.16,-0.68,200.0,59.0,0.006,9.792
0.195,14.9,5.0,7.71,3.471,5.12,5.0,0.13,1.841,1.608,3.332,5.881,21.344,5.824,2.966,18.17,31.73,-45.78,29.7,-0.03,200.0,59.0,0.006,13.085
0.195,14.4,5.0,7.67,3.481,5.1,3.0,0.14,1.752,1.505,3.169,5.711,20.765,-1.491,-3.278,13.38,-35.61,1.71,-4.15,0.03,200.0,59.0,0.006,12.616
0.195,13.0,5.0,7.5,3.506,5.03,2.0,0.21,1.614,1.284,2.769,5.011,19.525,-1.594,-0.303,-1.62,-6.52,13.32,-2.83,-0.04,200.0,59.0,0.006,11.312
0.195,12.1,5.0,7.4,3.522,4.97,3.0,0.28,1.47,1.213,2.542,4.798,18.483,-1.373,1.216,-15.95,12.44,18.04,-7.88,0.07,200.0,59.0,0.006,10.475
0.195,11.2,5.0,7.3,3.539,4.9,6.0,0.37,1.525,1.146,2.244,4.393,17.569,2.372,-4.858,11.67,-34.34,-35.84,-13.14,-0.11,200.0,59.0,0.006,9.607
0.195,10.7,5.0,7.3,3.548,4.87,5.0,0.43,1.535,1.169,2.148,4.151,17.084,-0.152,-4.032,39.48,-49.63,-16.57,14.63,-0.3,200.0,59.0,0.006,9.139
0.195,10.3,5.0,7.2,3.557,4.81,3.0,0.46,1.419,1.146,2.039,4.036,16.669,1.612,-1.545,11.34,-11.9,-20.2,2.37,0.16,200.0,59.0,0.006,8.739
0.195,10.0,5.0,7.2,3.563,4.81,4.0,0.5,1.456,1.183,1.959,4.068,16.428,1.92,-2.657,8.12,-17.65,-25.32,-5.7,0.02,200.0,59.0,0.006,8.471
